run_label,checkpoint_selection_csv,best_global_step,best_metric
condition_1_seed1337,training_artifacts/checkpoint_selection/condition_1_seed1337_checkpoints.csv,33,0.8433335423469543
condition_1_seed2024,training_artifacts/checkpoint_selection/condition_1_seed2024_checkpoints.csv,33,0.8438737988471985
condition_1_seed42,training_artifacts/checkpoint_selection/condition_1_seed42_checkpoints.csv,33,0.7467972040176392
condition_2a_seed1337,training_artifacts/checkpoint_selection/condition_2a_seed1337_checkpoints.csv,33,0.40754300355911255
condition_2a_seed2024,training_artifacts/checkpoint_selection/condition_2a_seed2024_checkpoints.csv,33,0.40674132108688354
condition_2a_seed42,training_artifacts/checkpoint_selection/condition_2a_seed42_checkpoints.csv,33,0.4076484143733978
condition_3a_seed1337,training_artifacts/checkpoint_selection/condition_3a_seed1337_checkpoints.csv,22,0.45410263538360596
condition_3a_seed2024,training_artifacts/checkpoint_selection/condition_3a_seed2024_checkpoints.csv,22,0.45386388897895813
condition_3a_seed42,training_artifacts/checkpoint_selection/condition_3a_seed42_checkpoints.csv,22,0.4544298052787781
condition_4a_seed1337,training_artifacts/checkpoint_selection/condition_4a_seed1337_checkpoints.csv,22,0.5211878418922424
condition_4a_seed2024,training_artifacts/checkpoint_selection/condition_4a_seed2024_checkpoints.csv,22,0.5211571455001831
condition_4a_seed42,training_artifacts/checkpoint_selection/condition_4a_seed42_checkpoints.csv,22,0.5209978818893433
condition_5a_seed1337,training_artifacts/checkpoint_selection/condition_5a_seed1337_checkpoints.csv,33,0.45258083939552307
condition_5a_seed2024,training_artifacts/checkpoint_selection/condition_5a_seed2024_checkpoints.csv,33,0.4526505172252655
condition_5a_seed42,training_artifacts/checkpoint_selection/condition_5a_seed42_checkpoints.csv,33,0.45257332921028137
