run_label,condition,public_condition,seed,train_jsonl,valid_jsonl,rows_train,rows_val,epochs,learning_rate,data_seed,precision,lora_r,lora_alpha,best_metric,best_global_step,best_model_checkpoint,global_step,epoch_at_end,gpu_name,gpu_count,gpu_vram_gb,driver_version,python,torch,transformers,peft,trl,final_adapter_present,trainer_state_present,eval_predictions_present
condition_1_seed1337,1,official human solution,1337,/workspace/data/train_official_human_2021_2023.jsonl,/workspace/data/valid_2024.jsonl,185,67,3.0,0.0002,42,bf16,16,32,0.8433335423469543,33,/workspace/outputs/condition_1_seed1337/checkpoint-33,33,2.946236559139785,NVIDIA H100 80GB HBM3,1,85.0,580.126.20,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_1_seed2024,1,official human solution,2024,/workspace/data/train_official_human_2021_2023.jsonl,/workspace/data/valid_2024.jsonl,185,67,3.0,0.0002,42,bf16,16,32,0.8438737988471985,33,/workspace/outputs/condition_1_seed2024/checkpoint-33,33,2.946236559139785,NVIDIA H100 80GB HBM3,1,85.0,580.126.20,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_1_seed42,1,official human solution,42,/workspace/data/train_official_human_2021_2023.jsonl,/workspace/data/valid_2024.jsonl,186,67,3.0,0.0002,42,bf16,16,32,0.7467972040176392,33,/workspace/outputs/condition_1_seed42/checkpoint-33,33,2.946236559139785,NVIDIA H100 80GB HBM3,1,85.0,580.126.09,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_2a_seed1337,2a,verbose solve,1337,/workspace/data/train_qwen3_32b_verbose_2021_2023.jsonl,/workspace/data/val_2a.jsonl,183,46,3.0,0.0002,42,bf16,16,32,0.40754300355911255,33,/workspace/outputs/condition_2a_seed1337/checkpoint-33,33,2.782608695652174,NVIDIA H100 80GB HBM3,1,85.0,580.126.20,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_2a_seed2024,2a,verbose solve,2024,/workspace/data/train_qwen3_32b_verbose_2021_2023.jsonl,/workspace/data/val_2a.jsonl,183,46,3.0,0.0002,42,bf16,16,32,0.40674132108688354,33,/workspace/outputs/condition_2a_seed2024/checkpoint-33,33,2.782608695652174,NVIDIA H100 80GB HBM3,1,85.0,580.126.20,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_2a_seed42,2a,verbose solve,42,/workspace/data/train_qwen3_32b_verbose_2021_2023.jsonl,/workspace/data/val_2a.jsonl,183,46,3.0,0.0002,42,bf16,16,32,0.4076484143733978,33,/workspace/outputs/condition_2a_seed42/checkpoint-33,33,2.782608695652174,NVIDIA H100 80GB HBM3,1,85.0,580.126.20,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_3a_seed1337,3a,concise solve,1337,/workspace/data/train_qwen3_32b_concise_2021_2023.jsonl,/workspace/data/val_3a.jsonl,186,63,3.0,0.0002,42,bf16,16,32,0.45410263538360596,22,/workspace/outputs/condition_3a_seed1337/checkpoint-22,33,2.946236559139785,NVIDIA H100 80GB HBM3,1,85.0,580.126.09,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_3a_seed2024,3a,concise solve,2024,/workspace/data/train_qwen3_32b_concise_2021_2023.jsonl,/workspace/data/val_3a.jsonl,186,63,3.0,0.0002,42,bf16,16,32,0.45386388897895813,22,/workspace/outputs/condition_3a_seed2024/checkpoint-22,33,2.946236559139785,NVIDIA H100 80GB HBM3,1,85.0,580.126.09,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_3a_seed42,3a,concise solve,42,/workspace/data/train_qwen3_32b_concise_2021_2023.jsonl,/workspace/data/val_3a.jsonl,186,63,3.0,0.0002,42,bf16,16,32,0.4544298052787781,22,/workspace/outputs/condition_3a_seed42/checkpoint-22,33,2.946236559139785,NVIDIA H100 80GB HBM3,1,85.0,580.126.09,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_4a_seed1337,4a,concise rewrite,1337,/workspace/data/train_qwen3_32b_concise_rewrite_2021_2023.jsonl,/workspace/data/val_4a.jsonl,186,67,3.0,0.0002,42,bf16,16,32,0.5211878418922424,22,/workspace/outputs/condition_4a_seed1337/checkpoint-22,33,2.946236559139785,NVIDIA H100 80GB HBM3,1,85.0,580.126.09,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_4a_seed2024,4a,concise rewrite,2024,/workspace/data/train_qwen3_32b_concise_rewrite_2021_2023.jsonl,/workspace/data/val_4a.jsonl,186,67,3.0,0.0002,42,bf16,16,32,0.5211571455001831,22,/workspace/outputs/condition_4a_seed2024/checkpoint-22,33,2.946236559139785,NVIDIA H100 80GB HBM3,1,85.0,580.126.09,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_4a_seed42,4a,concise rewrite,42,/workspace/data/train_qwen3_32b_concise_rewrite_2021_2023.jsonl,/workspace/data/val_4a.jsonl,186,67,3.0,0.0002,42,bf16,16,32,0.5209978818893433,22,/workspace/outputs/condition_4a_seed42/checkpoint-22,33,2.946236559139785,NVIDIA H100 80GB HBM3,1,85.0,580.126.09,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_5a_seed1337,5a,verbose rewrite,1337,/workspace/data/train_qwen3_32b_verbose_rewrite_2021_2023.jsonl,/workspace/data/val_5a.jsonl,186,67,3.0,0.0002,42,bf16,16,32,0.45258083939552307,33,/workspace/outputs/condition_5a_seed1337/checkpoint-33,33,2.946236559139785,NVIDIA H100 80GB HBM3,1,85.0,580.126.09,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_5a_seed2024,5a,verbose rewrite,2024,/workspace/data/train_qwen3_32b_verbose_rewrite_2021_2023.jsonl,/workspace/data/val_5a.jsonl,186,67,3.0,0.0002,42,bf16,16,32,0.4526505172252655,33,/workspace/outputs/condition_5a_seed2024/checkpoint-33,33,2.946236559139785,NVIDIA H100 80GB HBM3,1,85.0,580.126.09,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
condition_5a_seed42,5a,verbose rewrite,42,/workspace/data/train_qwen3_32b_verbose_rewrite_2021_2023.jsonl,/workspace/data/val_5a.jsonl,186,67,3.0,0.0002,42,bf16,16,32,0.45257332921028137,33,/workspace/outputs/condition_5a_seed42/checkpoint-33,33,2.946236559139785,NVIDIA H100 80GB HBM3,1,85.0,580.126.09,3.11.10,2.4.1+cu124,4.51.3,0.15.1,0.17.0,True,True,True
